probe_id,probe_name,gene_id,gene_symbol,gene_name,entrez_id,chromosome,Genes
1058549,A_23_P212715,864,CBLB,"Cbl proto-oncogene, E3 ubiquitin protein ligase B",868.0,3,CBLB 
1058547,A_24_P313431,865,CBLN1,cerebellin 1 precursor,869.0,16,CBLN1 
1058546,A_23_P76006,867,SERPINH1,"serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)",871.0,11,SERPINH1 SERPINH1 
1058544,CUST_11292_PI416261804,869,CBR1,carbonyl reductase 1,873.0,21,CBR1 
1058543,A_23_P29046,869,CBR1,carbonyl reductase 1,873.0,21,CBR1 
1058541,A_23_P40453,870,CBR3,carbonyl reductase 3,874.0,21,CBR3 
1058540,A_24_P48856,871,CBS,cystathionine-beta-synthase,875.0,21,CBS CBS CBS 
1058539,A_23_P166306,871,CBS,cystathionine-beta-synthase,875.0,21,CBS CBS CBS 
1058537,A_23_P60227,877,CCIN,calicin,881.0,9,CCIN 
1058536,A_23_P315206,879,CCBL1,"cysteine conjugate-beta lyase, cytoplasmic",883.0,9,CCBL1 CCBL1 CCBL1 
1058535,CUST_12690_PI416261804,879,CCBL1,"cysteine conjugate-beta lyase, cytoplasmic",883.0,9,CCBL1 CCBL1 CCBL1 
1058534,CUST_147_PI416408490,880,CCK,cholecystokinin,885.0,3,CCK CCK 
1058532,CUST_15594_PI416261804,882,CCKBR,cholecystokinin B receptor,887.0,11,CCKBR 
1058531,CUST_149_PI416408490,882,CCKBR,cholecystokinin B receptor,887.0,11,CCKBR 
1058530,A_23_P162010,882,CCKBR,cholecystokinin B receptor,887.0,11,CCKBR 
1058528,A_23_P58321,885,CCNA2,cyclin A2,890.0,4,CCNA2 
1058527,CUST_16017_PI416261804,886,CCNB1,cyclin B1,891.0,5,CCNB1 
1058526,A_23_P122197,886,CCNB1,cyclin B1,891.0,5,CCNB1 
1058525,A_24_P270235,889,CCND2,cyclin D2,894.0,12,CCND2 
1058524,A_23_P139881,889,CCND2,cyclin D2,894.0,12,CCND2 
1058523,A_24_P278747,889,CCND2,cyclin D2,894.0,12,CCND2 
1058522,A_23_P214464,891,CCND3,cyclin D3,896.0,6,CCND3 
1058521,CUST_14613_PI416261804,893,CCNE1,cyclin E1,898.0,19,CCNE1 
1058520,A_23_P209200,893,CCNE1,cyclin E1,898.0,19,CCNE1 
1058519,A_23_P37954,894,CCNF,cyclin F,899.0,16,CCNF 
1058517,A_24_P12065,896,CCNG2,cyclin G2,901.0,4,CCNG2 
1058516,A_24_P80532,896,CCNG2,cyclin G2,901.0,4,CCNG2 
1058515,A_23_P110122,896,CCNG2,cyclin G2,901.0,4,CCNG2 
1058514,CUST_13558_PI416261804,897,CCNH,cyclin H,902.0,5,CCNH CCNH 
1058513,A_23_P30338,897,CCNH,cyclin H,902.0,5,CCNH CCNH 
1058512,CUST_1055_PI416573500,899,CCNT1,cyclin T1,904.0,12,CCNT1 CCNT1 
1058511,A_23_P87575,899,CCNT1,cyclin T1,904.0,12,CCNT1 CCNT1 
1058510,CUST_1089_PI416379584,899,CCNT1,cyclin T1,904.0,12,CCNT1 CCNT1 
1058507,CUST_9021_PI416261804,905,CD1B,CD1b molecule,910.0,1,CD1B 
1058498,A_23_P161076,909,CD2,CD2 molecule,914.0,1,CD2 
1058496,A_24_P86968,911,CD3E,"CD3e molecule, epsilon (CD3-TCR complex)",916.0,11,CD3E 
1058494,CUST_16206_PI416261804,912,CD3G,"CD3g molecule, gamma (CD3-TCR complex)",917.0,11,CD3G 
1058491,A_23_P34676,914,CD247,CD247 molecule,919.0,1,CD247 CD247 
1058490,CUST_16941_PI416261804,915,CD4,CD4 molecule,920.0,12,CD4 CD4 CD4 CD4 CD4 
1058489,A_24_P295999,915,CD4,CD4 molecule,920.0,12,CD4 CD4 CD4 CD4 CD4 
1058487,CUST_1101_PI416379584,916,CD5,CD5 molecule,921.0,11,CD5 
1058484,A_23_P139162,918,CD6,CD6 molecule,923.0,11,CD6 CD6 CD6 CD6 
1058483,A_23_P311875,918,CD6,CD6 molecule,923.0,11,CD6 CD6 CD6 CD6 
1058482,CUST_16047_PI416261804,919,CD7,CD7 molecule,924.0,17,CD7 
1058481,A_23_P431815,919,CD7,CD7 molecule,924.0,17,CD7 
1058477,A_32_P163247,920,CD8A,CD8a molecule,925.0,2,CD8A CD8A CD8A CD8A 
1058476,CUST_16939_PI416261804,923,CD9,CD9 molecule,928.0,12,CD9 
1058475,A_23_P76364,923,CD9,CD9 molecule,928.0,12,CD9 
1058474,CUST_9454_PI416261804,925,CD19,CD19 molecule,930.0,16,CD19 CD19 
1058473,A_23_P113572,925,CD19,CD19 molecule,930.0,16,CD19 CD19 
1058468,A_23_P209055,928,CD22,CD22 molecule,933.0,19,CD22 CD22 CD22 CD22 CD22 
1058464,A_23_P48088,934,CD27,CD27 molecule,939.0,12,CD27 
1058463,CUST_14770_PI416261804,935,CD28,CD28 molecule,940.0,2,CD28 CD28 CD28 
1058459,CUST_14729_PI416261804,937,CD86,CD86 molecule,942.0,3,CD86 CD86 CD86 CD86 CD86 
1058458,A_23_P109988,937,CD86,CD86 molecule,942.0,3,CD86 CD86 CD86 CD86 
1058457,A_24_P131589,937,CD86,CD86 molecule,942.0,3,CD86 CD86 CD86 CD86 CD86 
1058452,A_24_P139028,941,SIGLEC6,sialic acid binding Ig-like lectin 6,946.0,19,SIGLEC6 SIGLEC6 SIGLEC6 
1058451,A_23_P4592,941,SIGLEC6,sialic acid binding Ig-like lectin 6,946.0,19,SIGLEC6 SIGLEC6 SIGLEC6 SIGLEC6 SIGLEC6 SIGLEC6 
1058450,A_23_P369201,944,SCARB1,"scavenger receptor class B, member 1",949.0,12,SCARB1 
1058449,A_24_P54879,945,SCARB2,"scavenger receptor class B, member 2",950.0,4,SCARB2 SCARB2 
1058448,A_23_P386514,945,SCARB2,"scavenger receptor class B, member 2",950.0,4,SCARB2 SCARB2 
1058446,CUST_14657_PI416261804,947,CD38,CD38 molecule,952.0,4,CD38 
1058445,A_23_P167328,947,CD38,CD38 molecule,952.0,4,CD38 
1058443,A_23_P29697,951,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3,956.0,3,ENTPD3 
1058442,A_23_P212469,951,ENTPD3,ectonucleoside triphosphate diphosphohydrolase 3,956.0,3,ENTPD3 
1058441,CUST_10433_PI416261804,952,ENTPD5,ectonucleoside triphosphate diphosphohydrolase 5,957.0,14,ENTPD5 
1058440,A_23_P117580,952,ENTPD5,ectonucleoside triphosphate diphosphohydrolase 5,957.0,14,ENTPD5 
1058438,CUST_15811_PI416261804,953,CD40,"CD40 molecule, TNF receptor superfamily member 5",958.0,20,CD40 CD40 
1058432,CUST_1154_PI416261804,958,CD53,CD53 molecule,963.0,1,CD53 CD53 
1058431,A_23_P74547,958,CD53,CD53 molecule,963.0,1,CD53 CD53 
1058429,CUST_14620_PI416261804,965,CD70,CD70 molecule,970.0,19,CD70 
1058428,A_23_P119202,965,CD70,CD70 molecule,970.0,19,CD70 
1058425,CUST_1255_PI416573500,970,CD81,CD81 molecule,975.0,11,CD81 
1058424,A_23_P13425,970,CD81,CD81 molecule,975.0,11,CD81 
1058423,CUST_1295_PI416379584,970,CD81,CD81 molecule,975.0,11,CD81 
1058421,A_23_P34597,973,CDA,cytidine deaminase,978.0,1,CDA 
1058420,CUST_9081_PI416261804,982,LRBA,"LPS-responsive vesicle trafficking, beach and anchor containing",987.0,4,LRBA LRBA 
1058419,A_24_P360078,982,LRBA,"LPS-responsive vesicle trafficking, beach and anchor containing",987.0,4,LRBA LRBA 
1058418,CUST_14082_PI416261804,983,CDC5L,CDC5 cell division cycle 5-like (S. pombe),988.0,6,CDC5L 
1058417,A_23_P156471,983,CDC5L,CDC5 cell division cycle 5-like (S. pombe),988.0,6,CDC5L 
1058416,A_24_P291973,984,SEPT7,septin 7,989.0,7,SEPT7 SEPT7 SEPT7 
1058415,A_23_P8482,984,SEPT7,septin 7,989.0,7,SEPT7 SEPT7 SEPT7 
1058414,A_32_P79584,984,SEPT7,septin 7,989.0,7,SEPT7 SEPT7 SEPT7 
1058413,CUST_16400_PI416261804,985,CDC6,cell division cycle 6 homolog (S. cerevisiae),990.0,17,CDC6 
1058412,A_23_P49972,985,CDC6,cell division cycle 6 homolog (S. cerevisiae),990.0,17,CDC6 
1058410,A_23_P149200,986,CDC20,cell division cycle 20 homolog (S. cerevisiae),991.0,1,CDC20 
1058407,A_24_P177025,992,CDC34,cell division cycle 34 homolog (S. cerevisiae),997.0,19,CDC34 
1058406,A_23_P164999,992,CDC34,cell division cycle 34 homolog (S. cerevisiae),997.0,19,CDC34 
1058404,A_23_P206359,994,CDH1,"cadherin 1, type 1, E-cadherin (epithelial)",999.0,16,CDH1 
1058403,CUST_15278_PI416261804,995,CDH2,"cadherin 2, type 1, N-cadherin (neuronal)",1000.0,18,CDH2 
1058402,A_23_P38732,995,CDH2,"cadherin 2, type 1, N-cadherin (neuronal)",1000.0,18,CDH2 
1058401,CUST_15619_PI416261804,996,CDH3,"cadherin 3, type 1, P-cadherin (placental)",1001.0,16,CDH3 
1058400,A_23_P49155,996,CDH3,"cadherin 3, type 1, P-cadherin (placental)",1001.0,16,CDH3 
1058399,A_23_P17593,997,CDH4,"cadherin 4, type 1, R-cadherin (retinal)",1002.0,20,CDH4 CDH4 CDH4 
1058398,CUST_7378_PI416261804,997,CDH4,"cadherin 4, type 1, R-cadherin (retinal)",1002.0,20,CDH4 CDH4 CDH4 
1058394,A_23_P214011,999,CDH6,"cadherin 6, type 2, K-cadherin (fetal kidney)",1004.0,5,CDH6 
1058393,CUST_1033_PI416261804,1001,CDH8,"cadherin 8, type 2",1006.0,16,CDH8 
1058392,A_23_P140797,1001,CDH8,"cadherin 8, type 2",1006.0,16,CDH8 
1058391,CUST_2352_PI416261804,1002,CDH9,"cadherin 9, type 2 (T1-cadherin)",1007.0,5,CDH9 
1058390,A_23_P92999,1002,CDH9,"cadherin 9, type 2 (T1-cadherin)",1007.0,5,CDH9 
1058389,CUST_1039_PI416261804,1003,CDH10,"cadherin 10, type 2 (T2-cadherin)",1008.0,5,CDH10 
1058388,A_23_P144656,1003,CDH10,"cadherin 10, type 2 (T2-cadherin)",1008.0,5,CDH10 
1058387,CUST_14984_PI416261804,1004,CDH11,"cadherin 11, type 2, OB-cadherin (osteoblast)",1009.0,16,CDH11 
1058386,A_23_P152305,1004,CDH11,"cadherin 11, type 2, OB-cadherin (osteoblast)",1009.0,16,CDH11 
1058385,A_23_P144847,1005,CDH12,"cadherin 12, type 2 (N-cadherin 2)",1010.0,5,CDH12 
1058384,A_32_P10936,1005,CDH12,"cadherin 12, type 2 (N-cadherin 2)",1010.0,5,CDH12 
1058383,CUST_150_PI416408490,1007,CDH13,"cadherin 13, H-cadherin (heart)",1012.0,16,CDH13 CDH13 CDH13 CDH13 
1058382,CUST_15176_PI416261804,1007,CDH13,"cadherin 13, H-cadherin (heart)",1012.0,16,CDH13 CDH13 CDH13 CDH13 
1058381,A_32_P85999,1007,CDH13,"cadherin 13, H-cadherin (heart)",1012.0,16,CDH13 CDH13 CDH13 CDH13 
1058378,CUST_5629_PI416261804,1009,CDH16,"cadherin 16, KSP-cadherin",1014.0,16,CDH16 CDH16 CDH16 CDH16 
1058376,CUST_1954_PI416261804,1011,CDH18,"cadherin 18, type 2",1016.0,5,CDH18 
1058375,A_23_P84118,1011,CDH18,"cadherin 18, type 2",1016.0,5,CDH18 CDH18 
1058374,CUST_14733_PI416261804,1012,CDK2,cyclin-dependent kinase 2,1017.0,12,CDK2 CDK2 
1058369,A_23_P24997,1014,CDK4,cyclin-dependent kinase 4,1019.0,12,CDK4 
1058368,CUST_15042_PI416261804,1015,CDK5,cyclin-dependent kinase 5,1020.0,7,CDK5 
1058367,A_23_P8400,1015,CDK5,cyclin-dependent kinase 5,1020.0,7,CDK5 CDK5 
1058366,CUST_8151_PI416261804,1017,CDK7,cyclin-dependent kinase 7,1022.0,5,CDK7 
1058365,A_23_P133585,1017,CDK7,cyclin-dependent kinase 7,1022.0,5,CDK7 
1058364,CUST_12054_PI416261804,1018,CDK8,cyclin-dependent kinase 8,1024.0,13,CDK8 
1058363,A_23_P139958,1018,CDK8,cyclin-dependent kinase 8,1024.0,13,CDK8 
1058362,A_32_P309929,1019,CDK9,cyclin-dependent kinase 9,1025.0,9,CDK9 
1058361,A_23_P158083,1019,CDK9,cyclin-dependent kinase 9,1025.0,9,CDK9 
1058360,A_23_P169470,1019,CDK9,cyclin-dependent kinase 9,1025.0,9,CDK9 
1058358,A_23_P59210,1020,CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)",1026.0,6,CDKN1A CDKN1A CDKN1A CDKN1A 
1058357,A_23_P204696,1021,CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",1027.0,12,CDKN1B 
1058356,A_24_P81841,1021,CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",1027.0,12,CDKN1B 
1058355,A_23_P43490,1023,CDKN2A,cyclin-dependent kinase inhibitor 2A,1029.0,9,CDKN2A CDKN2A CDKN2A CDKN2A 
1058354,A_23_P43484,1023,CDKN2A,cyclin-dependent kinase inhibitor 2A,1029.0,9,CDKN2A CDKN2A CDKN2A CDKN2A 
1058353,CUST_13324_PI416261804,1026,CDKN2D,"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",1032.0,19,CDKN2D CDKN2D 
1058352,A_23_P89941,1026,CDKN2D,"cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)",1032.0,19,CDKN2D CDKN2D 
1058351,CUST_7968_PI416261804,1027,CDKN3,cyclin-dependent kinase inhibitor 3,1033.0,14,CDKN3 
1058350,CUST_10792_PI416261804,1030,CDO1,"cysteine dioxygenase, type I",1036.0,5,CDO1 
1058349,A_23_P30294,1030,CDO1,"cysteine dioxygenase, type I",1036.0,5,CDO1 
1058347,A_23_P125495,1032,CDR1,"cerebellar degeneration-related protein 1, 34kDa",1038.0,X,CDR1 
1058346,A_24_P938614,1034,CDS1,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1,1040.0,4,CDS1 
1058345,A_23_P7250,1034,CDS1,CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 1,1040.0,4,CDS1 
1058344,A_23_P70520,1035,CDSN,corneodesmosin,1041.0,6,CDSN CDSN CDSN CDSN CDSN CDSN 
1058342,CUST_9098_PI416261804,1037,CD52,CD52 molecule,1043.0,1,CD52 
1058341,A_23_P85800,1037,CD52,CD52 molecule,1043.0,1,CD52 
1058339,A_23_P58788,1038,CDX1,caudal type homeobox 1,1044.0,5,CDX1 
1058185,A_23_P144096,1145,CISH,cytokine inducible SH2-containing protein,1154.0,3,CISH CISH 
1058184,CUST_5546_PI416261804,1146,TBCB,tubulin folding cofactor B,1155.0,19,POLR2I 
1058183,CUST_11705_PI416261804,1146,TBCB,tubulin folding cofactor B,1155.0,19,TBCB 
1058182,A_23_P56249,1146,TBCB,tubulin folding cofactor B,1155.0,19,TBCB 
1058181,CUST_15885_PI416261804,1149,CKM,"creatine kinase, muscle",1158.0,19,CKM 
1058178,CUST_352_PI417507815,1152,ERCC8,"excision repair cross-complementing rodent repair deficiency, complementation group 8",1161.0,5,ERCC8 
1058177,A_23_P58521,1152,ERCC8,"excision repair cross-complementing rodent repair deficiency, complementation group 8",1161.0,5,ERCC8 
1058176,CUST_7595_PI416261804,1155,CKS2,CDC28 protein kinase regulatory subunit 2,1164.0,9,CKS2 
1058175,A_23_P71727,1155,CKS2,CDC28 protein kinase regulatory subunit 2,1164.0,9,CKS2 
1058174,A_23_P157404,1165,AP1S1,"adaptor-related protein complex 1, sigma 1 subunit",1174.0,7,AP1S1 
1058173,A_24_P63950,1165,AP1S1,"adaptor-related protein complex 1, sigma 1 subunit",1174.0,7,AP1S1 
1058169,A_23_P59772,1171,CLCN1,"chloride channel, voltage-sensitive 1",1180.0,7,CLCN1 CLCN1 
1058168,CUST_14615_PI416261804,1172,CLCN2,"chloride channel, voltage-sensitive 2",1181.0,3,CLCN2 CLCN2 CLCN2 CLCN2 
1058167,A_23_P132845,1172,CLCN2,"chloride channel, voltage-sensitive 2",1181.0,3,CLCN2 CLCN2 CLCN2 
1058166,CUST_13383_PI416261804,1174,CLCN4,"chloride channel, voltage-sensitive 4",1183.0,X,CLCN4 CLCN4 
1058165,CUST_180_PI416408490,1174,CLCN4,"chloride channel, voltage-sensitive 4",1183.0,X,CLCN4 CLCN4 
1058164,A_23_P217741,1174,CLCN4,"chloride channel, voltage-sensitive 4",1183.0,X,CLCN4 CLCN4 
1058163,CUST_743_PI416573500,1176,CLCN6,"chloride channel, voltage-sensitive 6",1185.0,1,CLCN6 CLCN6 CLCN6 
1058162,CUST_770_PI416379584,1176,CLCN6,"chloride channel, voltage-sensitive 6",1185.0,1,CLCN6 CLCN6 CLCN6 
1058161,CUST_742_PI416573500,1176,CLCN6,"chloride channel, voltage-sensitive 6",1185.0,1,CLCN6 CLCN6 
1058160,CUST_182_PI416408490,1176,CLCN6,"chloride channel, voltage-sensitive 6",1185.0,1,CLCN6 CLCN6 CLCN6 
1058158,A_24_P302374,1176,CLCN6,"chloride channel, voltage-sensitive 6",1185.0,1,CLCN6 CLCN6 CLCN6 
1058155,CUST_13589_PI416261804,1183,CLIC1,chloride intracellular channel 1,1192.0,6,CLIC1 CLIC1 CLIC1 CLIC1 CLIC1 CLIC1 CLIC1 
1058154,A_23_P30884,1183,CLIC1,chloride intracellular channel 1,1192.0,6,CLIC1 CLIC1 CLIC1 CLIC1 CLIC1 CLIC1 CLIC1 
1058153,CUST_14459_PI416261804,1191,TPP1,tripeptidyl peptidase I,1200.0,11,TPP1 
1058152,A_24_P38815,1191,TPP1,tripeptidyl peptidase I,1200.0,11,TPP1 
1058151,A_24_P270357,1194,CLN5,"ceroid-lipofuscinosis, neuronal 5",1203.0,13,CLN5 
1058150,A_23_P117286,1194,CLN5,"ceroid-lipofuscinosis, neuronal 5",1203.0,13,CLN5 
1058149,CUST_10613_PI416261804,1198,CLNS1A,"chloride channel, nucleotide-sensitive, 1A",1207.0,11,CLNS1A 
1058148,A_23_P127995,1198,CLNS1A,"chloride channel, nucleotide-sensitive, 1A",1207.0,11,CLNS1A 
1058146,A_23_P8142,1199,CLPS,"colipase, pancreatic",1208.0,6,CLPS CLPS CLPS 
1058145,CUST_10906_PI416261804,1200,CLPTM1,cleft lip and palate associated transmembrane protein 1,1209.0,19,CLPTM1 CLPTM1 CLPTM1 
1058144,A_23_P50241,1200,CLPTM1,cleft lip and palate associated transmembrane protein 1,1209.0,19,CLPTM1 CLPTM1 CLPTM1 
1058143,CUST_9320_PI416261804,1203,CLTB,"clathrin, light chain B",1212.0,5,CLTB CLTB CLTB 
1058142,A_23_P60610,1203,CLTB,"clathrin, light chain B",1212.0,5,CLTB CLTB CLTB 
1058141,CUST_9107_PI416261804,1204,CLTC,"clathrin, heavy chain (Hc)",1213.0,17,CLTC 
1058140,A_23_P118544,1204,CLTC,"clathrin, heavy chain (Hc)",1213.0,17,CLTC 
1058136,A_24_P148717,1221,CCR1,chemokine (C-C motif) receptor 1,1230.0,3,CCR1 
1058128,CUST_13329_PI416261804,1227,CCR7,chemokine (C-C motif) receptor 7,1236.0,17,CCR7 
1058124,CUST_13516_PI416261804,1229,CCBP2,chemokine binding protein 2,1238.0,3,ACKR2 
1058122,A_23_P121030,1232,LTB4R,leukotriene B4 receptor,1241.0,14,CPN2 
1058111,A_23_P125233,1255,CNN1,"calponin 1, basic, smooth muscle",1264.0,19,CNN1 
1058110,A_23_P138168,1257,CNN3,"calponin 3, acidic",1266.0,1,CNN3 CNN3 CNN3 
1058108,CUST_16336_PI416261804,1260,CNR2,cannabinoid receptor 2 (macrophage),1269.0,1,CNR2 
1058104,CUST_11199_PI416261804,1263,CNTN1,contactin 1,1272.0,12,CNTN1 CNTN1 
1058103,A_23_P390700,1263,CNTN1,contactin 1,1272.0,12,CNTN1 CNTN1 
1058102,CUST_1397_PI416573500,1268,COL1A1,"collagen, type I, alpha 1",1277.0,17,COL1A1 
1058099,A_24_P277934,1269,COL1A2,"collagen, type I, alpha 2",1278.0,7,COL1A2 
1058093,A_23_P142533,1272,COL3A1,"collagen, type III, alpha 1",1281.0,2,COL3A1 
1058089,A_23_P65240,1273,COL4A1,"collagen, type IV, alpha 1",1282.0,13,COL4A1 
1058088,CUST_9239_PI416261804,1275,COL4A2,"collagen, type IV, alpha 2",1284.0,13,COL4A2 
1058087,A_23_P205031,1275,COL4A2,"collagen, type IV, alpha 2",1284.0,13,COL4A2 
1058084,A_23_P254522,1277,COL4A4,"collagen, type IV, alpha 4",1286.0,2,COL4A4 
1058081,A_32_P218734,1281,COL5A2,"collagen, type V, alpha 2",1290.0,2,COL5A2 
1058080,A_23_P10391,1281,COL5A2,"collagen, type V, alpha 2",1290.0,2,COL5A2 
1058079,A_23_P33196,1281,COL5A2,"collagen, type V, alpha 2",1290.0,2,COL5A2 
1058077,A_23_P144071,1285,COL7A1,"collagen, type VII, alpha 1",1294.0,3,COL7A1 
1058075,A_24_P365975,1287,COL8A2,"collagen, type VIII, alpha 2",1296.0,1,COL8A2 
1058074,CUST_79_PI417507815,1288,COL9A1,"collagen, type IX, alpha 1",1297.0,6,COL9A1 COL9A1 
1058072,CUST_10863_PI416261804,1289,COL9A2,"collagen, type IX, alpha 2",1298.0,1,COL9A2 
1058071,A_23_P45786,1289,COL9A2,"collagen, type IX, alpha 2",1298.0,1,COL9A2 
1058070,CUST_10961_PI416261804,1290,COL9A3,"collagen, type IX, alpha 3",1299.0,20,COL9A3 
1058652,A_23_P4096,758,CA4,carbonic anhydrase IV,762.0,17,CA4 
1058649,A_23_P95683,759,CA5A,"carbonic anhydrase VA, mitochondrial",763.0,16,CA5A 
1058646,CUST_14264_PI416261804,763,CA8,carbonic anhydrase VIII,767.0,8,CA8 
1058645,A_23_P83838,763,CA8,carbonic anhydrase VIII,767.0,8,CA8 
1058642,CUST_5092_PI416261804,766,CA11,carbonic anhydrase XI,770.0,19,CA11 
1058641,A_23_P78782,766,CA11,carbonic anhydrase XI,770.0,19,CA11 
1058640,A_24_P367289,776,DDR1,discoidin domain receptor tyrosine kinase 1,780.0,6,DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 
1058639,A_23_P93311,776,DDR1,discoidin domain receptor tyrosine kinase 1,780.0,6,DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 
1058638,A_24_P123601,776,DDR1,discoidin domain receptor tyrosine kinase 1,780.0,6,DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 DDR1 
1058637,CUST_132_PI416408490,778,CACNB1,"calcium channel, voltage-dependent, beta 1 subunit",782.0,17,CACNB1 CACNB1 CACNB1 
1058636,CUST_1079_PI416261804,778,CACNB1,"calcium channel, voltage-dependent, beta 1 subunit",782.0,17,CACNB1 CACNB1 CACNB1 
1058635,A_24_P190190,778,CACNB1,"calcium channel, voltage-dependent, beta 1 subunit",782.0,17,CACNB1 
1058634,A_23_P405754,778,CACNB1,"calcium channel, voltage-dependent, beta 1 subunit",782.0,17,CACNB1 
1058633,A_24_P91165,778,CACNB1,"calcium channel, voltage-dependent, beta 1 subunit",782.0,17,CACNB1 CACNB1 CACNB1 
1058632,A_23_P371794,780,CACNB3,"calcium channel, voltage-dependent, beta 3 subunit",784.0,12,CACNB3 CACNB3 CACNB3 CACNB3 
1058631,CUST_133_PI416408490,780,CACNB3,"calcium channel, voltage-dependent, beta 3 subunit",784.0,12,CACNB3 CACNB3 CACNB3 CACNB3 
1058630,A_23_P204016,780,CACNB3,"calcium channel, voltage-dependent, beta 3 subunit",784.0,12,CACNB3 CACNB3 CACNB3 CACNB3 
